Fecha	Vista	
09/06/2020	195336922,24	
08/06/2020	149093465,08	
05/06/2020	59759475,63	
04/06/2020	40132386,02	
03/06/2020	162046770,45	
02/06/2020	309964099,90	
01/06/2020	141643381,55	
29/05/2020	220220118,69	
28/05/2020	62188448,87	
27/05/2020	150356137,71	
26/05/2020	159541893,40	
22/05/2020	61059960,48	
21/05/2020	84219985,36	
20/05/2020	48774269,11	
19/05/2020	171952849,95	
18/05/2020	21855697,35	
15/05/2020	205698529,85	
14/05/2020	103517439,27	
13/05/2020	89377750,96	
12/05/2020	250256850,52	
11/05/2020	66447561,60	
08/05/2020	132754926,37	
07/05/2020	182513195,12	
06/05/2020	294680484,66	
05/05/2020	85193796,73	
04/05/2020	103965414,19	
30/04/2020	302720020,32	
29/04/2020	68249166,10	
28/04/2020	303018326,08	
27/04/2020	305651491,75	
24/04/2020	62964129,77	
23/04/2020	212981238,90	
22/04/2020	178369847,84	
21/04/2020	92399209,50	
20/04/2020	152083230,09	
17/04/2020	269536094,27	
16/04/2020	108483104,39	
15/04/2020	149631968,10	
14/04/2020	39755438,74	
13/04/2020	185196404,68	
08/04/2020	67000636,43	
07/04/2020	306806124,38	
06/04/2020	238076967,29	
03/04/2020	180052434,51	
02/04/2020	78607564,87	
01/04/2020	200927088,94	
31/03/2020	129491458,58	
30/03/2020	197881291,41	
27/03/2020	155161310,38	
26/03/2020	91076956,61	
25/03/2020	53093754,07	
24/03/2020	278366776,91	
23/03/2020	35526419,61	
20/03/2020	238655706,71	
18/03/2020	187799875,66	
17/03/2020	165651609,21	
16/03/2020	155187138,64	
13/03/2020	275321746,70	
12/03/2020	260153247,38	
11/03/2020	272528491,52	
10/03/2020	240322495,68	
09/03/2020	134959593,85	
06/03/2020	111972288,36	
05/03/2020	224422022,55	
04/03/2020	228135920,14	
03/03/2020	214785600,71	
02/03/2020	129142612,27	
28/02/2020	76218280,13	
27/02/2020	182116993,90	
26/02/2020	136666452,78	
21/02/2020	124387451,04	
20/02/2020	168320733,48	
19/02/2020	229765547,89	
18/02/2020	30578245,56	
17/02/2020	26148451,43	
14/02/2020	27561400,90	
13/02/2020	243632653,61	
12/02/2020	202976215,44	
11/02/2020	60056870,29	
10/02/2020	41062596,75	
